"name","icecreams_consumed","favorite_seabird"
"Lott, Thalia",8202,"Razorbill"
"Kim, Jimmy",6734,"Sooty shearwater"
"Williams, Aaliyah",6952,"Common tern"
"Castaneda, Israel",6459,"Black-headed gull"
"Ukowich, Steven",7346,"Kittiwake"
"Donaldson, Jeremy",7207,"Black-headed gull"
"Jeong, Vani",5932,"Razorbill"
"Wilson, Justin",6841,"Sooty shearwater"
"Provencio, Jack",6636,"Guillemot"
"Rickman, Robert",5140,"Razorbill"
"Borunda, Willis",7472,"Razorbill"
"Shihadeh, Suyin",5717,"Great black-backed gull"
"Washington-Cloud, Nicholas",6919,"Black-headed gull"
"Lamas, Jacinto",6734,"Common tern"
"Patton, Megann",4786,"Guillemot"
"Mayes, Kevin",6450,"Sandwich tern"
"Batra, Maya",6665,"Razorbill"
"Huff, Demarcos",6213,"Red-throated diver"
"Vasquez, Josue",6831,"Sooty shearwater"
"Rankin, Joseph",9266,"Common tern"
"Yazzie, William",7109,"Fulmar"
"Her, Susheel",7231,"Guillemot"
"Redmond, Avidus",5932,"Razorbill"
"Bueno, Michael",7073,"Roseate tern"
"Attebery, Joao",7298,"Common tern"
"Jones, Cleatus",7147,"Guillemot"
"Francin, Tian",8196,"Manx shearwater"
"Wesley Jr, Kenneth",7710,"Fulmar"
"Diaz, Matthew",6276,"Common tern"
"Smith, Nash",9005,"Shag"
"Brito, Sarah",5439,"Guillemot"
"Nguyen, Claire",5149,"Black-headed gull"
"Harrison, Jeremiah",8258,"Fulmar"
"Aguado, Christina",7833,"Kittiwake"
"Draxler, Theodore",5394,"Sandwich tern"
"Newberry, Cody",7341,"Razorbill"
"Holmes, David",6463,"Great northern diver"
"Madden-Vaughn, Amani",7323,"Kittiwake"
"Padilla, Tyler",7163,"Roseate tern"
"Von Eschen, Sarah",9343,"Storm Petrel"
"Kellison, Kianna",5566,"Sooty shearwater"
"Kendall, Vinhcynt",7261,"Manx shearwater"
"Hatchett, Shaun",7902,"Great black-backed gull"
"Minjarez, Raquelle",9141,"Red-throated diver"
"Yost, Paul",7932,"Common tern"
"Redbird, Joseph",7161,"Common tern"
"Jenness, Adrian",7515,"Kittiwake"
"Williams, Christopher",7417,"Arctic tern"
"Roybal, Michael",7803,"Red-throated diver"
"Miller, Zachary",7312,"Shag"
"Thompson, Kelton",7780,"Razorbill"
"Medina, Ashley",7544,"Black-headed gull"
"Simbo, Shomanique",7846,"Razorbill"
"Aragon Limas, Miriam",6948,"Fulmar"
"Christen, Taylor",7728,"Kittiwake"
"Tarango Sandoval, Francine",7185,"Arctic tern"
"Perletz, Mimi",7881,"Razorbill"
"Jones, Solomon",7238,"Sooty shearwater"
"Lucero, Carina",7416,"Fulmar"
"Elliott, Nicholas",7724,"Great black-backed gull"
"Littlefield, Uriah",8096,"Red-throated diver"
"Pham, I'Kaika",7989,"Guillemot"
"Lattany, Atira",6882,"Red-throated diver"
"Jimenez, Jennifer",7175,"Razorbill"
"Daum Weber, Jordan",7313,"Shag"
"Croteau, Isaiah",8325,"Sooty shearwater"
"Horton, Naathan",6264,"Manx shearwater"
"Williams, Kashaun",5683,"Red-throated diver"
"Nunez-Wilchis, Amalia",6532,"Razorbill"
"Geanetta, Elizabeth",7212,"Great black-backed gull"
"Twins, Jessica",7032,"Fulmar"
"Aghi, Arbaz",7385,"Red-throated diver"
"Redd, Seanae",7239,"Common tern"
"Gonzales, Brandon",7555,"Shag"
"Briese, Andrew",8035,"Guillemot"
"Ironwing, Britney",6812,"Sooty shearwater"
"Bhatt, Airam",6305,"Razorbill"
"Owens, Marcella",7811,"Common tern"
"Perez, Marissa",7199,"Razorbill"
"West, Emma",7127,"Razorbill"
"Lenahan, Howard",7138,"Great black-backed gull"
"Mandel, Aspen",6157,"Fulmar"
"Kassahun, Tyra",6386,"Fulmar"
"Gomez, Adrian",6582,"Roseate tern"
